CUST_ID,TXN_DATE,TXN_AMOUNT,TXN_TYPE
1,2016-01-02,116306,CREDIT
1,2016-01-07,97783,CREDIT
1,2016-01-11,169473,CREDIT
1,2016-01-23,158504,CREDIT
1,2016-01-27,30482,CREDIT
1,2016-01-14,34898,CREDIT
1,2016-01-07,17598,CREDIT
1,2016-02-02,123973,CREDIT
1,2016-02-02,49584,CREDIT
1,2016-02-04,87852,CREDIT
1,2016-02-05,153030,CREDIT
1,2016-02-26,2017,CREDIT
1,2016-02-03,5115,CREDIT
1,2016-02-19,12555,CREDIT
1,2016-02-12,72501,CREDIT
1,2016-03-15,10734,CREDIT
1,2016-03-05,83284,CREDIT
1,2016-03-01,1652,CREDIT
1,2016-03-03,100626,CREDIT
1,2016-03-11,53348,CREDIT
1,2016-03-02,164942,CREDIT
1,2016-03-25,50520,CREDIT
1,2016-04-13,144915,CREDIT
1,2016-05-08,119203,CREDIT
1,2016-05-03,144893,CREDIT
1,2016-06-12,69306,CREDIT
1,2016-06-15,124969,CREDIT
1,2016-06-16,156305,CREDIT
1,2016-06-07,78843,CREDIT
1,2016-06-20,170142,CREDIT
1,2016-06-24,55148,CREDIT
1,2016-06-08,157221,CREDIT
1,2016-08-13,79443,CREDIT
1,2016-08-16,48003,CREDIT
1,2016-08-26,15701,CREDIT
1,2016-09-07,137859,CREDIT
1,2016-09-11,21775,CREDIT
1,2016-10-09,171823,CREDIT
1,2016-10-06,79065,CREDIT
1,2016-10-24,67769,CREDIT
1,2016-10-16,65524,CREDIT
1,2016-12-05,86666,CREDIT
1,2017-01-11,39342,CREDIT
1,2017-01-22,159730,CREDIT
1,2017-01-20,146716,CREDIT
1,2017-01-10,49605,CREDIT
1,2017-02-07,32304,CREDIT
1,2017-02-01,181227,CREDIT
1,2017-02-19,119199,CREDIT
1,2017-02-27,53411,CREDIT
1,2017-03-21,150104,CREDIT
1,2017-03-02,144624,CREDIT
2,2016-01-08,147362,CREDIT
2,2016-02-16,98055,CREDIT
2,2016-02-20,115770,CREDIT
2,2016-02-13,138119,CREDIT
2,2016-02-21,147128,CREDIT
2,2016-02-17,26647,CREDIT
2,2016-02-24,128472,CREDIT
2,2016-02-12,38955,CREDIT
2,2016-03-23,106283,CREDIT
2,2016-03-17,14777,CREDIT
2,2016-03-03,81685,CREDIT
2,2016-03-13,127973,CREDIT
2,2016-04-07,165739,CREDIT
2,2016-04-18,115225,CREDIT
2,2016-04-27,150136,CREDIT
2,2016-04-09,174091,CREDIT
2,2016-04-16,76819,CREDIT
2,2016-06-04,42050,CREDIT
2,2016-06-16,8384,CREDIT
2,2016-06-22,55203,CREDIT
2,2016-06-09,95707,CREDIT
2,2016-06-13,115602,CREDIT
2,2016-07-17,29724,CREDIT
2,2016-07-14,148267,CREDIT
2,2016-08-02,52618,CREDIT
2,2016-08-18,78804,CREDIT
2,2016-08-21,92212,CREDIT
2,2016-08-22,106271,CREDIT
2,2016-08-07,10820,CREDIT
2,2016-08-09,110541,CREDIT
2,2016-08-12,22580,CREDIT
2,2016-09-12,22521,CREDIT
2,2016-09-08,186485,CREDIT
2,2016-09-16,18295,CREDIT
2,2016-09-16,47764,CREDIT
2,2016-09-09,136540,CREDIT
2,2016-11-01,18709,CREDIT
2,2016-11-10,182606,CREDIT
2,2016-11-08,181399,CREDIT
2,2016-11-27,83195,CREDIT
2,2016-11-17,154008,CREDIT
2,2016-11-13,187390,CREDIT
2,2016-11-19,129611,CREDIT
2,2016-11-19,111369,CREDIT
2,2016-12-13,38657,CREDIT
2,2016-12-05,186623,CREDIT
2,2016-12-06,131187,CREDIT
2,2016-12-11,177901,CREDIT
2,2016-12-24,119622,CREDIT
2,2016-12-11,61623,CREDIT
2,2017-01-14,198750,CREDIT
2,2017-01-01,87900,CREDIT
2,2017-01-15,197915,CREDIT
2,2017-01-19,36826,CREDIT
2,2017-01-08,176682,CREDIT
2,2017-02-13,165045,CREDIT
2,2017-02-10,19102,CREDIT
2,2017-02-12,194513,CREDIT
2,2017-03-08,190431,CREDIT
2,2017-03-22,99004,CREDIT
2,2017-03-24,39942,CREDIT
2,2017-03-06,35593,CREDIT
2,2017-03-23,18888,CREDIT
2,2017-03-26,47042,CREDIT
3,2016-01-05,169572,CREDIT
3,2016-01-20,85129,CREDIT
3,2016-01-27,79102,CREDIT
3,2016-01-23,177482,CREDIT
3,2016-02-02,13380,CREDIT
3,2016-02-09,180844,CREDIT
3,2016-02-19,174064,CREDIT
3,2016-02-15,17969,CREDIT
3,2016-02-10,71752,CREDIT
